,Title,Price,PID,Location
0,3 bedroom Flat / Apartment for rent Victoria Island Extension Victoria Island Lagos," 7,000,000/year ",7LEMS,Victoria Island Extension Victoria Island Lagos
1,5 bedroom House for rent Ikoyi Lagos," 35,000,000/year ",8LCYN,Ikoyi Lagos
2,4 bedroom House for rent  Old Ikoyi Ikoyi Lagos," 25,000,000/year ",8LBMC,Old Ikoyi Ikoyi Lagos
3,4 bedroom Flat / Apartment for rent Old Ikoyi Ikoyi Lagos," 30,000,000/year ",3LFFL,Old Ikoyi Ikoyi Lagos
4,4 bedroom House for rent Ologolo Lekki Lagos," 10,000,000/year ",7LCZU,Ologolo Lekki Lagos
5,4 bedroom House for rent Off Adeola Odeku Street Victoria Island Lagos," 20,000,000/year ",5KVAY,Off Adeola Odeku Street Victoria Island Lagos
6,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 20,000,000/year ",4LFFP,Lekki Phase 1 Lekki Lagos
7,4 bedroom House for rent  Ikate Lekki Lagos," 10,000,000/year ",7LDYH,Ikate Lekki Lagos
8,3 bedroom Flat / Apartment for rent  Old Ikoyi Ikoyi Lagos," 25,000,000/year ",0LDME,Old Ikoyi Ikoyi Lagos
9,4 bedroom House for rent Ikate Lekki Lagos," 7,500,000/year ",9LECS,Ikate Lekki Lagos
10,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 15,000,000/year ",2LENT,Lekki Phase 1 Lekki Lagos
11,Commercial Property for rent  Ahmadu Bello Way Victoria Island Lagos," 90,000/sqm ",6LCCF,Ahmadu Bello Way Victoria Island Lagos
12,4 bedroom House for rent Ikota Lekki Lagos," 7,500,000/year ",3LCXM,Ikota Lekki Lagos
13,4 bedroom House for rent Victoria Island Lagos," 9,000,000/year ",7LCZZ,Victoria Island Lagos
14,4 bedroom Flat / Apartment for rent Victoria Island Kofo Abayomi Victoria Island Lagos," 35,000,000/year ",3KTAK,Victoria Island Kofo Abayomi Victoria Island Lagos
15,4 bedroom Flat / Apartment for rent Victoria Island Kofo Abayomi Victoria Island Lagos," 35,000,000/year ",3KTAK,Victoria Island Kofo Abayomi Victoria Island Lagos
16,2 bedroom Flat / Apartment for rent  Ikate Lekki Lagos," 6,000,000/year ",8LESN,Ikate Lekki Lagos
17,3 bedroom Flat / Apartment for rent Lekki Phase 1 Lekki Lagos," 14,000,000/year ",9LDHT,Lekki Phase 1 Lekki Lagos
18,3 bedroom Flat / Apartment for rent Ikoyi Lagos," 23,000,000/year ",6LBYX,Ikoyi Lagos
19,5 bedroom House for rent Osapa london Lekki Lagos," 15,000,000/year ",2LDAC,Osapa London Lekki Lagos
20,4 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",3LDRM,Ikate Lekki Lagos
21,2 bedroom Flat / Apartment for rent  Ikate Lekki Lagos," 6,000,000/year ",2LCBQ,Ikate Lekki Lagos
22,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 20,000,000/year ",3LEYX,Lekki Phase 1 Lekki Lagos
23,3 bedroom Flat / Apartment for rent  Banana Island Ikoyi Lagos," 32,000,000/year ",3LBHL,Banana Island Ikoyi Lagos
24,5 bedroom House for rent Banana Island Ikoyi Lagos," 75,000,000/year ",2LBUU,Banana Island Ikoyi Lagos
25,4 bedroom House for rent Lekki Conservation chevron Lekki Lagos," 4,000,000/year ",5KWNT,Lekki Conservation Chevron Lekki Lagos
26,3 bedroom Flat / Apartment for rent New Road Igbo-efon Lekki Lagos," 4,000,000/year ",9LFEK,New Road Igbo Efon Lekki Lagos
27,4 bedroom Flat / Apartment for rent  Old Ikoyi Ikoyi Lagos," 26,000,000/year ",4KZGZ,Old Ikoyi Ikoyi Lagos
28,4 bedroom House for rent Off Adeola Odeku Street Adeola Odeku Victoria Island Lagos," 15,000,000/year ",9LCMS,Off Adeola Odeku Street Adeola Odeku Victoria Island Lagos
29,5 bedroom House for rent  Banana Island Ikoyi Lagos," 149,000/year ",0LDDY,Banana Island Ikoyi Lagos
30,4 bedroom House for rent Ikoyi Lagos," 30,000,000/year ",4LDHM,Ikoyi Lagos
31,3 bedroom Flat / Apartment for rent Ikate Ilasan Lekki Lagos," 6,500,000/year ",1LCGC,Ikate Ilasan Lekki Lagos
32,3 bedroom Flat / Apartment for rent Ikate Ilasan Lekki Lagos," 6,500,000/year ",1LCGC,Ikate Ilasan Lekki Lagos
33,4 bedroom House for rent  Old Ikoyi Ikoyi Lagos," 20,000,000/year ",4LBPK,Old Ikoyi Ikoyi Lagos
34,5 bedroom House for rent Parkview Estate Ikoyi Lagos," 35,000,000/year ",3LECS,Parkview Estate Ikoyi Lagos
35,3 bedroom Flat / Apartment for rent Old Ikoyi Old Ikoyi Ikoyi Lagos," 15,000,000/year ",6LCMQ,Old Ikoyi Old Ikoyi Ikoyi Lagos
36,House for rent chevron Lekki Lagos," 30,000,000/year ",3LEGR,Chevron Lekki Lagos
37,3 bedroom Flat / Apartment for rent Old Ikoyi Old Ikoyi Ikoyi Lagos," 15,000,000/year ",8LCQA,Old Ikoyi Old Ikoyi Ikoyi Lagos
38,2 bedroom Flat / Apartment for rent Banana Island Estate Ikoyi Lagos," 11,000,000/year ",5LBNL,Banana Island Estate Ikoyi Lagos
39,3 bedroom Commercial Property for rent Lekki Phase 1 Lekki Lagos," 500,000/month ",2LCZN,Lekki Phase 1 Lekki Lagos
40,4 bedroom House for rent  Ologolo Lekki Lagos," 6,500,000/year ",6LFFJ,Ologolo Lekki Lagos
41,2 bedroom Flat / Apartment for rent Ikate Lekki Lagos," 6,000,000 ",5LBMN,Ikate Lekki Lagos
42,1 bedroom Flat / Apartment for rent Osapa London Lekki Lagos," 1,500,000/year ",1LFKW,Osapa London Lekki Lagos
43,4 bedroom House for rent  Lekki Phase 1 Lekki Lagos," 8,000,000/year ",3LESC,Lekki Phase 1 Lekki Lagos
44,4 bedroom Flat / Apartment for rent Old Ikoyi Ikoyi Lagos," 35,000,000/year ",7LDBN,Old Ikoyi Ikoyi Lagos
